ID,AGE
Laura,34
Tina,29
George,19
Uma,27
Tina,59
Bob,45
Nina,29
Alice,23
Evan,47
Xavier,28
Oliver,55
Charlie,33
Rachel,31
Yvonne,55
Rachel,31
Kevin,43
Xavier,26
Xavier,54
Paula,42
Oliver,41
Tina,56
Uma,43
Fiona,52
Charlie,44
George,29
Diana,39
Uma,27
Uma,45
Tina,58
Diana,33
Wendy,23
Laura,28
Uma,46
Nina,26
Tina,45
Paula,33
Uma,48
Zach,42
Tina,49
Charlie,37
Uma,55
Steve,30
Diana,49
Evan,24
Evan,28
Charlie,35
Paula,53
Charlie,38
Victor,57
Zach,30
Oliver,43
George,42
Victor,52
Tina,30
Wendy,31
Paula,19
Steve,22
Zach,56
Evan,25
Victor,42
Kevin,53
Tina,23
Rachel,22
Oliver,36
Xavier,40
Wendy,44
Laura,21
Fiona,50
Paula,20
Evan,36
Paula,42
Laura,37
George,22
Julia,42
Steve,51
Ivan,43
Ivan,33
Michael,34
Hannah,37
Fiona,26
Nina,28
Evan,43
Ivan,30
Fiona,49
Oliver,21
Nina,42
Julia,36
Uma,55
George,43
Victor,47
Julia,23
Fiona,36
Uma,42
Laura,23
Oliver,51
Paula,40
Nina,50
Nina,42
Evan,50
George,49
Xavier,42
George,47
Charlie,35
Paula,32
Quinn,45
Paula,56
Bob,57
Paula,39
Steve,34
Julia,45
Tina,43
Zach,58
Victor,32
Zach,34
Steve,40
Oliver,31
Zach,25
Evan,55
Victor,36
Steve,20
Julia,25
Xavier,37
Paula,30
Nina,35
Charlie,22
Tina,23
Alice,24
Quinn,34
Nina,28
Steve,58
Oliver,23
Rachel,44
Diana,53
Yvonne,28
Xavier,58
Evan,43
Bob,48
Diana,48
Wendy,46
Evan,53
Diana,25
Victor,46
Laura,27
Laura,29
Hannah,44
Victor,20
Yvonne,41
Kevin,51
Nina,49
George,58
Wendy,38
Wendy,35
Evan,48
Uma,53
Victor,26
Yvonne,54
Bob,36
Evan,51
Evan,55
Evan,47
Evan,59
Charlie,50
Ivan,51
Michael,26
Oliver,19
Uma,22
Diana,36
Kevin,20
Diana,34
Yvonne,52
George,22
Tina,28
Steve,29
Alice,25
Steve,42
Quinn,46
Victor,31
Wendy,37
Yvonne,45
Kevin,33
Wendy,44
Xavier,52
Xavier,37
Charlie,33
Paula,34
Xavier,42
Uma,21
Wendy,26
Kevin,43
Ivan,35
Bob,22
Wendy,38
Alice,43
Hannah,22
Oliver,32
Xavier,55
Uma,46
Rachel,39
Evan,26
Oliver,18
총 고객 수: 200
총 나이: 7641
